46,2939,23,3,58,src/main/scala/temp_sudokuTest76.txt,45,26267,32,23,26267,23328,12011,184
44,2939,23,1,57,src/main/scala/temp_sudokuTest77.txt,43,26267,31,23,26267,23328,12011,202
56,2939,23,0,59,src/main/scala/temp_sudokuTest78.txt,55,26267,33,23,26267,23328,12011,217
22,2939,23,1,26,src/main/scala/temp_sudokuTest79.txt,22,26267,18,23,26267,23328,12011,179
138,2939,23,3,192,src/main/scala/temp_sudokuTest80.txt,133,26267,100,23,26267,23328,12011,263
29,2939,23,3,33,src/main/scala/temp_sudokuTest81.txt,27,26267,21,23,26267,23328,12011,178
179,2939,23,4,248,src/main/scala/temp_sudokuTest82.txt,173,26267,129,23,26267,23328,12011,297
46,2939,23,2,51,src/main/scala/temp_sudokuTest83.txt,45,26267,29,23,26267,23328,12011,345
148,2939,23,3,187,src/main/scala/temp_sudokuTest84.txt,147,26267,99,23,26267,23328,12011,289
43,2939,23,2,49,src/main/scala/temp_sudokuTest85.txt,43,26267,29,23,26267,23328,12011,200
24,2939,23,1,28,src/main/scala/temp_sudokuTest86.txt,23,26267,19,23,26267,23328,12011,188
60,2939,23,1,68,src/main/scala/temp_sudokuTest87.txt,59,26267,38,23,26267,23328,12011,230
113,2939,23,3,151,src/main/scala/temp_sudokuTest88.txt,113,26267,79,23,26267,23328,12011,431
110,2939,23,2,138,src/main/scala/temp_sudokuTest89.txt,109,26267,71,23,26267,23328,12011,382
127,2939,23,2,152,src/main/scala/temp_sudokuTest90.txt,125,26267,81,23,26267,23328,12011,263
69,2939,23,2,90,src/main/scala/temp_sudokuTest91.txt,67,26267,51,23,26267,23328,12011,206
37,2939,23,2,40,src/main/scala/temp_sudokuTest92.txt,36,26267,24,23,26267,23328,12011,334
39,2939,23,4,47,src/main/scala/temp_sudokuTest93.txt,37,26267,29,23,26267,23328,12011,336
37,2939,23,3,39,src/main/scala/temp_sudokuTest94.txt,36,26267,23,23,26267,23328,12011,336
30,2939,23,2,35,src/main/scala/temp_sudokuTest95.txt,28,26267,21,23,26267,23328,12011,189
99,2939,23,3,125,src/main/scala/temp_sudokuTest96.txt,99,26267,67,23,26267,23328,12011,236
20,2939,23,4,22,src/main/scala/temp_sudokuTest97.txt,17,26267,15,23,26267,23328,12011,170
46,2939,23,2,55,src/main/scala/temp_sudokuTest98.txt,44,26267,30,23,26267,23328,12011,213
112,2939,23,1,126,src/main/scala/temp_sudokuTest99.txt,110,26267,67,23,26267,23328,12011,285
37,2939,23,3,43,src/main/scala/temp_sudokuTest100.txt,35,26267,25,23,26267,23328,12011,344
17,2939,23,3,19,src/main/scala/temp_sudokuTest101.txt,16,26267,16,23,26267,23328,12011,168
100,2939,23,3,120,src/main/scala/temp_sudokuTest102.txt,99,26267,64,23,26267,23328,12011,360
227,2939,23,0,277,src/main/scala/temp_sudokuTest103.txt,225,26267,142,23,26267,23328,12011,361
13,2939,23,2,17,src/main/scala/temp_sudokuTest104.txt,12,26267,12,23,26267,23328,12011,162
67,2939,23,3,84,src/main/scala/temp_sudokuTest105.txt,63,26267,44,23,26267,23328,12011,254
30,2939,23,2,33,src/main/scala/temp_sudokuTest106.txt,29,26267,21,23,26267,23328,12011,342
13,2939,23,2,13,src/main/scala/temp_sudokuTest107.txt,12,26267,10,23,26267,23328,12011,306
72,2939,23,3,95,src/main/scala/temp_sudokuTest108.txt,69,26267,53,23,26267,23328,12011,214
127,2939,23,2,147,src/main/scala/temp_sudokuTest109.txt,124,26267,77,23,26267,23328,12011,456
90,2939,23,2,114,src/main/scala/temp_sudokuTest110.txt,89,26267,61,23,26267,23328,12011,382
44,2939,23,5,61,src/main/scala/temp_sudokuTest111.txt,42,26267,37,23,26267,23328,12011,201
22,2939,23,3,24,src/main/scala/temp_sudokuTest112.txt,21,26267,17,23,26267,23328,12011,186
73,2939,23,3,100,src/main/scala/temp_sudokuTest113.txt,72,26267,55,23,26267,23328,12011,199
60,2939,23,3,66,src/main/scala/temp_sudokuTest114.txt,59,26267,37,23,26267,23328,12011,207
118,2939,23,0,135,src/main/scala/temp_sudokuTest115.txt,111,26267,71,23,26267,23328,12011,421
45,2939,23,2,54,src/main/scala/temp_sudokuTest116.txt,41,26267,30,23,26267,23328,12011,189
58,2939,23,2,78,src/main/scala/temp_sudokuTest117.txt,57,26267,42,23,26267,23328,12011,221
48,2939,23,3,56,src/main/scala/temp_sudokuTest118.txt,46,26267,33,23,26267,23328,12011,200
85,2939,23,1,111,src/main/scala/temp_sudokuTest119.txt,85,26267,60,23,26267,23328,12011,205
54,2939,23,2,63,src/main/scala/temp_sudokuTest120.txt,53,26267,35,23,26267,23328,12011,211
66,2939,23,1,83,src/main/scala/temp_sudokuTest121.txt,63,26267,46,23,26267,23328,12011,388
183,2939,23,2,218,src/main/scala/temp_sudokuTest122.txt,180,26267,113,23,26267,23328,12011,463
451,2939,23,1,573,src/main/scala/temp_sudokuTest123.txt,447,26267,291,23,26267,23328,12011,580
104,2939,23,2,126,src/main/scala/temp_sudokuTest124.txt,101,26267,65,23,26267,23328,12011,226
21,2939,23,4,22,src/main/scala/temp_sudokuTest125.txt,20,26267,16,23,26267,23328,12011,173
93,2939,23,0,106,src/main/scala/temp_sudokuTest126.txt,88,26267,57,23,26267,23328,12011,240
41,2939,23,3,48,src/main/scala/temp_sudokuTest127.txt,40,26267,28,23,26267,23328,12011,183
202,2939,23,3,246,src/main/scala/temp_sudokuTest128.txt,199,26267,127,23,26267,23328,12011,282
64,2939,23,4,74,src/main/scala/temp_sudokuTest129.txt,62,26267,42,23,26267,23328,12011,216
24,2939,23,1,31,src/main/scala/temp_sudokuTest130.txt,24,26267,21,23,26267,23328,12011,179
94,2939,23,4,121,src/main/scala/temp_sudokuTest131.txt,92,26267,65,23,26267,23328,12011,225
